"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Rorb"	0	1.32744524298383	0.684	0.218	0	"E3Rorb"	"Rorb"
"Hs6st3"	2.34574897671651e-223	0.778507408887438	0.91	0.627	5.95890612555294e-219	"E3Rorb"	"Hs6st3"
"Zmat4"	2.67655039140904e-200	1.02841818111727	0.577	0.236	6.79924095929638e-196	"E3Rorb"	"Zmat4"
"Ptprd"	5.21355914094836e-192	0.406769559272622	0.997	0.97	1.32440042857511e-187	"E3Rorb"	"Ptprd"
"Brinp3"	7.94618530006118e-187	0.902807808111622	0.715	0.374	2.01856945177454e-182	"E3Rorb"	"Brinp3"
"Unc5d"	1.07827349499145e-174	0.898983844207158	0.705	0.392	2.73913815932678e-170	"E3Rorb"	"Unc5d"
"R3hdm1"	6.11410482296066e-168	0.565113928103897	0.943	0.8	1.5531660481767e-163	"E3Rorb"	"R3hdm1"
"Tenm2"	5.79748667077844e-151	0.516305058120527	0.963	0.841	1.47273553897785e-146	"E3Rorb"	"Tenm2"
"Lrrc4c"	1.51234813999738e-146	0.551005806395279	0.921	0.762	3.84181798003534e-142	"E3Rorb"	"Lrrc4c"
"Kcnh5"	7.53627976089435e-145	0.879885371803172	0.432	0.161	1.91444114765999e-140	"E3Rorb"	"Kcnh5"
"Brinp1"	2.4910923394353e-124	0.623372931681843	0.814	0.636	6.32812186986748e-120	"E3Rorb"	"Brinp1"
"Lingo2"	8.78497559605081e-124	0.518556328431964	0.926	0.741	2.23164735066479e-119	"E3Rorb"	"Lingo2"
"Cdh12"	1.39075213189073e-119	0.724754103072266	0.669	0.415	3.53292764064202e-115	"E3Rorb"	"Cdh12"
"Fam19a2"	5.40579079576904e-118	0.804310796065272	0.529	0.266	1.37323303584921e-113	"E3Rorb"	"Fam19a2"
"Grm7"	1.52110626169304e-114	0.497008841264766	0.888	0.751	3.86406623657882e-110	"E3Rorb"	"Grm7"
"Rcan2"	3.04421434850862e-112	0.809944474556248	0.354	0.131	7.73321770951646e-108	"E3Rorb"	"Rcan2"
"Prr16"	5.97825700364279e-112	0.829328139837105	0.498	0.249	1.51865662663538e-107	"E3Rorb"	"Prr16"
"Cacna2d3"	8.34790287977244e-112	0.661583225797088	0.743	0.518	2.12061776854859e-107	"E3Rorb"	"Cacna2d3"
"Kcnh7"	7.85300312295035e-111	0.464941269868017	0.924	0.798	1.99489838332308e-106	"E3Rorb"	"Kcnh7"
"Cadps2"	6.43056941410036e-105	0.801175720975488	0.495	0.251	1.63355754826391e-100	"E3Rorb"	"Cadps2"
"Adam33"	6.41126071324047e-101	0.772927128873055	0.179	0.039	1.62865255898448e-96	"E3Rorb"	"Adam33"
"Tmem145"	1.1451725227873e-96	0.818823186505567	0.331	0.128	2.90908175963657e-92	"E3Rorb"	"Tmem145"
"Astn2"	6.43782738378498e-86	0.67954971900781	0.622	0.416	1.6354012903029e-81	"E3Rorb"	"Astn2"
"Rims1"	1.28446310378346e-85	0.450089575033974	0.853	0.718	3.26292162254112e-81	"E3Rorb"	"Rims1"
"Mef2c"	3.64704196199197e-81	0.424512034669638	0.866	0.696	9.26458069604819e-77	"E3Rorb"	"Mef2c"
"Nell1"	1.3330706806286e-79	0.793697695658267	0.384	0.186	3.38639945000084e-75	"E3Rorb"	"Nell1"
"Gpr158"	4.62881102065153e-78	0.527175171341319	0.707	0.524	1.17585686357611e-73	"E3Rorb"	"Gpr158"
"Camk2n1"	1.42763402930515e-76	0.641011370073167	0.497	0.286	3.62661872464387e-72	"E3Rorb"	"Camk2n1"
"Negr1"	3.57061938527723e-75	0.424031503951857	0.861	0.75	9.07044442441974e-71	"E3Rorb"	"Negr1"
"Kcnab3"	1.17756577570362e-74	0.707585718425343	0.164	0.043	2.9913703400199e-70	"E3Rorb"	"Kcnab3"
"Pamr1"	5.67815245468284e-73	0.682381882053646	0.264	0.101	1.44242106806308e-68	"E3Rorb"	"Pamr1"
"Cux1"	1.56538773072195e-71	0.665899496738577	0.341	0.159	3.97655445235297e-67	"E3Rorb"	"Cux1"
"Rora"	4.90434043359631e-71	0.467877979626475	0.746	0.573	1.24584960034647e-66	"E3Rorb"	"Rora"
"A830036E02Rik"	4.33200810470658e-70	0.64698589818697	0.423	0.223	1.10046001883861e-65	"E3Rorb"	"A830036E02Rik"
"Cpne9"	7.12105430574089e-64	0.668683046603084	0.351	0.175	1.80896142528736e-59	"E3Rorb"	"Cpne9"
"Chrm2"	1.21427224427503e-63	0.640603456695801	0.245	0.096	3.08461578213186e-59	"E3Rorb"	"Chrm2"
"Arpp21"	3.53485632981064e-60	0.316779557782719	0.93	0.822	8.97959553461796e-56	"E3Rorb"	"Arpp21"
"Shisa6"	4.08769026812599e-60	0.599460592467999	0.188	0.064	1.03839595881204e-55	"E3Rorb"	"Shisa6"
"Pld5"	2.71021360048587e-57	0.680303371389696	0.174	0.058	6.88475560931425e-53	"E3Rorb"	"Pld5"
"Gria4"	1.17975502938279e-50	0.365851381963955	0.818	0.683	2.9969317011411e-46	"E3Rorb"	"Gria4"
"Car10"	8.46699927101102e-48	0.349998057708938	0.812	0.664	2.15087182481493e-43	"E3Rorb"	"Car10"
"BC030499"	1.09041491781154e-47	0.573813020930577	0.263	0.126	2.76998101571665e-43	"E3Rorb"	"BC030499"
"Grik1"	3.34430833151503e-47	0.436339052279965	0.192	0.074	8.49554645454762e-43	"E3Rorb"	"Grik1"
"Camk4"	2.52899259924683e-46	0.531327903106286	0.472	0.32	6.42439989986672e-42	"E3Rorb"	"Camk4"
"Lcorl"	7.58188002328036e-46	0.533673164903732	0.318	0.17	1.92602498231391e-41	"E3Rorb"	"Lcorl"
"Gm13629"	7.6643761498118e-44	0.533563019390022	0.163	0.061	1.94698147333669e-39	"E3Rorb"	"Gm13629"
"Kalrn"	3.22938332360951e-43	0.278422796272295	0.89	0.795	8.20360245696523e-39	"E3Rorb"	"Kalrn"
"Whrn"	3.76740081766865e-42	0.483157928618974	0.142	0.05	9.57032829712368e-38	"E3Rorb"	"Whrn"
"Rims2"	1.92324418420861e-41	0.396469179281852	0.65	0.515	4.88561720114514e-37	"E3Rorb"	"Rims2"
